Humidity: 27.90 %, Temp: 28.70 Celsius
Humidity: 30.60 %, Temp: 23.70 Celsius
Humidity: 30.50 %, Temp: 23.60 Celsius
Humidity: 30.60 %, Temp: 23.60 Celsius
Humidity: 30.60 %, Temp: 23.60 Celsius
Humidity: 30.60 %, Temp: 23.60 Celsius
Humidity: 30.70 %, Temp: 23.60 Celsius
Humidity: 30.70 %, Temp: 23.60 Celsius
Humidity: 30.70 %, Temp: 23.60 Celsius
Humidity: 30.70 %, Temp: 23.60 Celsius
Humidity: 30.80 %, Temp: 23.60 Celsius
Humidity: 30.80 %, Temp: 23.60 Celsius
Humidity: 30.80 %, Temp: 23.60 Celsius
Humidity: 30.80 %, Temp: 23.60 Celsius
Humidity: 30.70 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.60 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.50 Celsius
Humidity: 30.90 %, Temp: 23.50 Celsius
Humidity: 30.80 %, Temp: 23.40 Celsius
Humidity: 30.90 %, Temp: 23.50 Celsius
Humidity: 30.90 %, Temp: 23.40 Celsius
Humidity: 30.90 %, Temp: 23.40 Celsius
Humidity: 30.90 %, Temp: 23.40 Celsius
Humidity: 30.90 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.40 Celsius
Humidity: 31.10 %, Temp: 23.40 Celsius
Humidity: 31.00 %, Temp: 23.30 Celsius
Humidity: 31.10 %, Temp: 23.40 Celsius
Humidity: 31.10 %, Temp: 23.40 Celsius
Humidity: 31.10 %, Temp: 23.40 Celsius
Humidity: 31.10 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.40 Celsius
Humidity: 31.10 %, Temp: 23.30 Celsius
Humidity: 31.10 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.40 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.20 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
Humidity: 31.30 %, Temp: 23.30 Celsius
